,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,TRA
Vnn3,0.9568,0.043200000000000016,3.0977536669163523,3.9495073e-05,6.5099402e-06,0.0,0.25,2.6156778,2.6459694,2.7045765,-6.297455,11.9010515,0.46247205,0.031192644,0.13563782070449915,0.016513761467889913,0.27103487,0.025113149,True,WT vs Aire_KO,WT,Aire_KO,True
Camp,0.96,0.040000000000000036,3.1780535907646423,4.4712127e-05,5.245687e-06,0.0,0.25,2.6056504,2.844932,2.9351,-7.9383507,10.853483,0.98534214,0.046205178,0.06692183481849194,0.02135112593828186,0.5560178,0.037553478,True,WT vs Aire_KO,WT,Aire_KO,True
F3,0.9564,0.04359999999999997,3.088118866327286,3.7278787e-05,9.02294e-06,0.0,0.25,2.5972106,2.7301388,2.962058,-11.282865,12.370138,0.30189416,0.0603837,0.10124992524370231,0.01668056713928274,0.21511024,0.041139957,True,WT vs Aire_KO,WT,Aire_KO,False
Reg3b,0.9586,0.04139999999999999,3.1421927747802774,5.2165167e-05,5.3782705e-06,0.0,0.25,2.592508,2.580863,2.8482487,-7.7517214,13.98496,2.0392473,0.00050041697,0.07350038873273086,0.0005004170141784821,0.9493803,0.0004291384,True,WT vs Aire_KO,WT,Aire_KO,True
Crct1,0.957,0.04300000000000004,3.1026030536505993,6.329845e-05,1.19951155e-05,0.0,0.25,2.5846026,2.6783018,2.9272616,-11.186273,11.283799,0.840914,0.13194329,0.05376472699001308,0.014011676396997508,0.44913194,0.07707114,True,WT vs Aire_KO,WT,Aire_KO,True
Ccl11,0.9578,0.042200000000000015,3.122218540340339,0.00010018418,3.2253247e-05,0.0,0.25,2.555955,2.662067,2.796009,-8.522989,11.488794,0.9565134,0.21617995,0.10340290652472596,0.03252710592160121,0.7894834,0.1844151,True,WT vs Aire_KO,WT,Aire_KO,True
Bmpr1b,0.9518,0.04820000000000002,2.982995710668006,2.7793667e-05,6.3315697e-06,0.0,0.25,2.5394685,2.5892258,2.756305,-6.6032076,10.866392,0.12762438,0.010175141,0.054661802523773034,0.00783986655546289,0.10898234,0.008867127,True,WT vs Aire_KO,WT,Aire_KO,True
Boc,0.954,0.04600000000000004,3.03202206805009,3.502303e-05,5.617646e-06,0.0,0.25,2.5331419,2.5737906,2.3870778,-5.8235435,10.138474,0.26630867,0.03369473,0.12672687040248254,0.026021684737280983,0.24530035,0.024980038,True,WT vs Aire_KO,WT,Aire_KO,False
Sgcz,0.9574,0.04259999999999997,3.112366799386283,3.6082318e-05,2.7395938e-06,0.0,0.25,2.5329776,2.5243473,3.0473492,-8.869527,14.534999,0.58757937,0.025521249,0.052568626278333135,0.018849040867389474,0.39228526,0.018980965,True,WT vs Aire_KO,WT,Aire_KO,True
Ldlrad4,0.942,0.05800000000000005,2.7875621022318757,3.984257e-05,2.8593572e-06,0.0,0.25,2.5156395,2.146429,2.2383246,-4.3986206,10.181721,0.32940647,0.014345276,0.12870043657675467,0.013010842368640543,0.27778074,0.01074258,True,WT vs Aire_KO,WT,Aire_KO,False
