,entropy
St8sia4,3.9651126423332173
Slco4c1,3.2846471178253336
D1Ertd622e,4.283611097084371
Ppip5k2,4.2567756121743425
Gin1,4.207323032814647
Pam,3.9545381170622664
B230216N24Rik,4.0442697211846355
1810006J02Rik,3.5383655554065974
Cntnap5b,2.5686042302640644
Cdh20,2.694256818776243
Rnf152,3.8989811854928464
Pign,4.260618392525221
2310035C23Rik,4.281713096549449
Tnfrsf11a,3.6485579355021143
Zcchc2,4.24548907872882
Phlpp1,4.208707837119394
Bcl2,4.242754898545403
Kdsr,4.312662750433419
Vps4b,4.359904664798924
Serpinb5,2.564239654550468
Serpinb12,3.188048246454013
Serpinb13,3.1238749840763664
Serpinb3a,1.26375087628453
Serpinb3d,2.3592163847345002
Serpinb3b,2.2785883382702523
Serpinb3c,2.359458364324264
Serpinb11,2.9797070873375997
Serpinb7,3.488175514440002
Serpinb2,3.1306180798513954
Serpinb10-ps,3.4166940212965913
Serpinb8,3.826099065640809
Cdh7,2.3438327085974726
Cdh19,3.1536186956124856
Dsel,4.17666678133305
Cntnap5a,3.222723732486274
Tsn,4.363524555634284
Mki67ip,4.3041613040359685
Clasp1,4.28857004483935
2900060B14Rik,4.240244983738711
Tfcp2l1,3.3417302234385104
Gli2,3.778051584538663
Inhbb,3.9014587675611763
Ralb,4.30832362815215
Tmem185b,4.246448397955333
Epb4.1l5,4.214265628464677
Ptpn4,4.243728664314588
Tmem177,4.151716570241779
Gm101,2.888084018021042
Sctr,3.6493696936141866
Tmem37,3.927908667367971
Dbi,4.229248757007845
3110009E18Rik,4.226167859800288
Steap3,4.111580635044623
C1ql2,3.2294967532425534
Marco,3.415093550747662
En1,3.1710800941545867
B230209K01Rik,2.970032031330662
Insig2,4.272170811148977
Ccdc93,4.1987362830223685
Htr5b,3.932347883552042
Ddx18,4.333448573616698
Dpp10,2.478042637868632
Actr3,4.345491142795414
Slc35f5,4.205146764350629
Gpr39,3.3178762297638387
Lypd1,3.5707756859616935
Nckap5,3.8353114883169264
Mgat5,4.058822893100646
Tmem163,3.938421622849913
Acmsd,3.4175222897431468
2900009J06Rik,4.217924043413831
Ccnt2,4.179546802804398
Ysk4,3.915894647309299
Rab3gap1,4.300368054688539
Zranb3,4.2096399830870705
R3hdm1,4.320558817899832
Ubxn4,4.377449646909344
Lct,3.605907269984043
Mcm6,4.198365144461807
Dars,4.306799173934902
Cxcr4,3.9085337898523704
Thsd7b,3.0041183048010667
Daf2,3.9424123082805336
Cd55,4.077143173001156
Zp3r,3.9423173738572572
C4bp,2.028436476902582
C4bp-ps1,3.6822366100899746
Pfkfb2,4.238180847963055
Yod1,4.246388547992832
AA986860,3.9950159537693373
Fcamr,3.51643398380327
Pigr,2.6342147516549717
Faim3,3.305915180361632
Il24,2.7560706511667026
Il19,3.0817292596212282
Il10,4.057689871396762
Mapkapk2,4.3410457352359115
Dyrk3,3.9533335505756235
Eif2d,4.257159133485766
Rassf5,4.06670520195499
Ikbke,4.098410891572152
Srgap2,4.098292911473661
Fam72a,4.1415723455632865
Avpr1b,1.964608039739915
Ctse,3.744520127099941
5430435G22Rik,3.944389764800154
Slc26a9,3.309185946415741
Pm20d1,3.808232819938577
Slc41a1,4.197628026820208
Rab7l1,4.185288615586104
Nucks1,4.371955489144881
Slc45a3,4.045961686503824
Elk4,4.202326248876479
Mfsd4,4.151883393413115
Cdk18,3.9947937521844223
Klhdc8a,3.8151606250806327
Nuak2,4.2265321190548155
Tmcc2,4.084268070261101
Dstyk,4.250194180091125
Rbbp5,4.224508571184764
Tmem81,4.110586231357334
Cntn2,2.7057641779454733
Nfasc,3.08984821660316
Gm10538,2.4212446794905857
Lrrn2,3.6216832385476883
Mdm4,4.2606080735661696
Pik3c2b,4.180489611696428
Ppp1r15b,4.34984367972345
Plekha6,4.04628191819973
Gm19461,3.474491886806754
Golt1a,3.112629382501749
Kiss1,3.2479721614941415
Ren1,3.467724713460604
Etnk2,3.9113367630961324
Sox13,4.15641720005516
Snrpe,4.297868458840898
Zc3h11a,4.3676418202959395
Zbed6,4.352101123998675
Lax1,3.7383039861671556
Atp2b4,4.125753381336925
Optc,3.6941532879682586
Prelp,3.8557932461734796
Fmod,3.5738999227972674
Btg2,4.33868922895379
Chit1,2.7234611927192565
Chi3l1,3.6077165274711196
Mybph,3.598333154040045
Adora1,3.5870620990331
Myog,3.428912012779187
Ppfia4,3.565642691764042
Tmem183a,4.341741921006604
4933406M09Rik,3.6800871709194913
Cyb5r1,4.220458035791643
Adipor1,4.356513510889211
Klhl12,4.255281426903646
Rabif,4.269585567941208
Kdm5b,4.311984450858416
Syt2,3.6357362849149903
Ppp1r12b,4.160687873241386
Ube2t,4.14558951632214
Lgr6,3.5910827094449704
Ptprv,3.3468811038318513
Ptpn7,3.4910256109301008
Arl8a,4.3174428362315
Gpr37l1,2.168439125820102
Elf3,3.084119130537618
Rnpep,4.298619679059867
Timm17a,4.353479048997388
Lmod1,3.9020727456247566
Shisa4,3.6094741901629375
Ipo9,4.287014289779645
Nav1,4.05065509304587
Csrp1,4.182190864078763
Phlda3,4.13271489507855
Tnni1,3.773639541613428
Lad1,3.5999711168068624
Tnnt2,2.9755691847578407
Pkp1,2.6114122599076754
Igfn1,3.629412138877463
Tmem9,4.278727821695773
Cacna1s,3.909924441567247
6530439I21,3.4881008739695276
Kif21b,3.9156652224530477
5730559C18Rik,3.4111338221941967
Camsap2,4.257750409839432
9230116N13Rik,4.127893533444262
Ddx59,4.198973619080559
Kif14,3.6218596927474738
Zfp281,4.291829804003803
Gm19705,4.200511143979273
Gm16880,3.757928238526507
Nr5a2,3.3227278603446786
Ptprc,3.56168949855131
Atp6v1g3,2.3116194981776146
Nek7,4.32135372171212
Lhx9,3.8623911885911806
2310009B15Rik,4.351598246727552
Dennd1b,4.256785931133394
Crb1,2.1387176000459442
Zbtb41,4.27232284381234
Aspm,4.195585904823863
F13b,2.3261047369465344
Cfhr1,1.1427932421582556
Gm4788,1.8036730384205806
Cfhr2,1.6068481815712428
Cfh,3.5986571693542704
Kcnt2,3.420560879218591
Cdc73,4.280230950064314
B3galt2,4.106234726325203
Glrx2,4.362030026398286
Trove2,4.239740042675778
Uchl5,4.310382260482978
Rgs2,4.273094357984111
Rgs13,3.6059471699590433
Rgs1,3.9432691258471317
Rgs18,3.525351628215809
Fam5c,3.216002306525254
Pla2g4a,4.0848442121414905
7530420F21Rik,3.8899462489124197
Ptgs2,3.760928303888158
BC003331,4.305454613570457
Tpr,4.361925804911864
Prg4,3.8308880945367347
Hmcn1,3.818939771850692
C730036E19Rik,2.887202778918021
Ivns1abp,4.327991908070123
1200016B10Rik,4.3368672447505485
1190005F20Rik,4.266638817201325
Rnf2,4.324116107050278
Fam129a,4.166415927411022
Edem3,4.298545726519996
1700025G04Rik,4.264529621971143
Tsen15,4.2787357328977125
Glt25d2,3.759991686371559
Rgl1,4.141963090146047
Apobec4,2.420434641205022
Arpc5,4.363096662798937
Ncf2,3.9356124582307195
Smg7,4.350580453399746
Nmnat2,3.7955508192639535
Lamc2,3.8585188272243536
Lamc1,4.154235772111617
E330020D12Rik,3.8550630078379164
1700012A16Rik,3.9797346073095734
Dhx9,4.353224170708809
Npl,3.9060954198284374
Rgs8,3.420378921573978
C230024C17,3.9138219124011
Rgs16,4.055295872896751
Rnasel,4.12298755634575
Rgsl1,3.569252951570954
5830403L16Rik,3.818870634825045
Glul,4.295742753276234
Zfp648,3.461779617185578
Cacna1e,3.7988673327031917
Ier5,4.263533154492044
Mr1,4.108353896549135
Stx6,4.234731563917351
Xpr1,4.301065616320438
Acbd6,4.366730656211669
Qsox1,4.243264311157258
Cep350,4.241856461177296
Tor1aip1,4.3362556744440806
Tor1aip2,4.340176534918451
Fam163a,3.3818651267397604
Tdrd5,2.3937850695405753
Nphs2,2.6202612832425194
Soat1,4.211422411280613
Abl2,4.277239139869905
Tor3a,4.238765588975989
Fam20b,4.2428374502178166
Ralgps2,4.2224626655701
Angptl1,3.9832970559395453
Rasal2,4.1063815995090405
2810025M15Rik,4.248236329593702
BC026585,4.058991436098491
Sec16b,3.9624462233142403
Fam5b,3.557413321920257
Astn1,3.2128663748694217
Pappa2,3.281741298956356
Rfwd2,4.333120430718852
Scarna3a,3.7845563123595958
Tnr,3.035077933678786
4930523C07Rik,4.292542500108979
4930562F07Rik,3.93730683130702
Tnn,3.8889456538497
Mrps14,4.3701328170110365
Cacybp,4.363071897297213
Rabgap1l,4.314440363112737
Gpr52,3.606173155162277
Rc3h1,4.3331562031102315
Serpinc1,2.5293892621622796
Zbtb37,4.1794243511569835
Gas5,4.305701580657096
Snord47,4.005746983252573
Dars2,4.15095537502906
Cenpl,4.199112581062456
Klhl20,4.263603323413596
Ankrd45,3.316875634701119
4930469G21Rik,2.712782101996581
Prdx6,4.3517939629842335
Tnfsf4,3.7914197959902287
Tnfsf18,3.721636459541437
Fasl,3.742611807605967
AI848100,4.290897658036127
4930558K02Rik,4.153673732808597
Pigc,4.223872235376572
Dnm3,3.7875384915255568
2810442N19Rik,3.915653871598091
Dnm3os,3.7573139164976253
Mettl13,4.150246462542203
Vamp4,4.1475312004503815
Myoc,3.393802098570846
Prrc2c,4.3597980355553885
Fmo4,3.503342664419593
Fmo1,3.8775861997602115
Fmo2,3.719351498042074
Fmo6,3.55777276566056
Fmo3,3.0343463194820157
Prrx1,3.572643073584762
Gorab,4.247816003994993
Mettl11b,1.4377684258723475
Kifap3,4.246345552330117
Scyl3,4.268865648564696
BC055324,4.135044228101836
2810422O20Rik,4.2079315074334
Sele,3.9902565058893598
Sell,3.2360107681266332
Selp,3.647065470057927
Gm16548,3.4600659820523814
F5,3.739585944846687
Slc19a2,4.104315743906876
4930455F23Rik,4.216141615220288
Blzf1,4.234811363867351
Nme7,4.1630942544922585
Atp1b1,4.045188452505545
Dpt,3.3756885418166735
LOC433374,3.625322735405247
Xcl1,3.7509178817120374
Tbx19,2.7105198422071317
Sft2d2,4.300343977117418
Tiprl,4.323362823039499
Gpr161,3.7716170256392814
Dcaf6,4.304930410450627
Brp44,4.322905693153506
Adcy10,3.9492152540180627
Mpzl1,4.074142763674203
Rcsd1,3.962239844133205
Creg1,4.280533639529833
Cd247,3.5306631404050557
Pou2f1,4.295655042124294
Dusp27,2.8523245253403924
Gpa33,3.0010470386219588
Ildr2,3.916878044106932
Tada1,4.222522171567299
Pogk,4.206492700576281
Gm16701,3.8453563070232195
Fam78b,3.9414719071456155
Uck2,4.158454850502583
Tmco1,4.351570385538112
Aldh9a1,4.265335532673086
Mgst3,4.2255776153425275
Lrrc52,3.4647920652980915
Rxrg,3.85077616828251
Lmx1a,3.429609230445785
Pbx1,4.217494086786673
Nuf2,4.103772966660753
Rgs5,3.630866424173159
Rgs4,3.565320740241627
1700084C01Rik,3.6527302346120463
Hsd17b7,4.221541526492079
3110045C21Rik,4.1380618356938745
Ddr2,3.784429733128561
Uap1,4.281917067973373
Uhmk1,4.150107500560306
Sh2d1b1,3.7996422865279795
Gm7694,4.06532383730326
1700015E13Rik,3.7177386447422824
Nos1ap,4.134849199775758
Olfml2b,3.9712548307261315
Atf6,4.289825518190648
Dusp12,4.216511377919644
Fcrlb,3.6042269994851135
Fcrla,3.21080705460799
Fcgr2b,3.6305475683384594
Fcgr4,3.546966751741548
Fcgr3,3.2230219504028703
1700009P17Rik,4.081829356271866
Sdhc,4.340818718136773
Mpz,3.098916517817854
Pcp4l1,3.7725433241968287
Nr1i3,3.208549954298067
Tomm40l,4.241730913842166
Apoa2,2.1563162407434335
Fcer1g,3.773100891950926
Ndufs2,4.362304510709063
Adamts4,3.4950733946008077
B4galt3,4.256029207469598
Ppox,4.277169658878956
Usp21,4.173337885142949
Ufc1,4.383872510988467
Dedd,4.270316494207375
Nit1,4.243174536213508
Pfdn2,4.311187483254318
Klhdc9,4.075440200792312
Pvrl4,3.7973937853505992
Arhgap30,3.7262056946095603
Usf1,4.219309879614483
Tstd1,4.05062929564824
F11r,4.09955251240858
Alyref2,4.240301394048194
Itln1,3.17125620438907
Cd244,3.546766219970642
Ly9,3.4417353831928197
Slamf7,3.7964547600768883
Cd48,3.538523091514788
Slamf1,3.283447022887613
Cd84,3.5507792631458748
Slamf6,3.232359232483514
Vangl2,4.037695856338055
Ncstn,4.275727068403518
Copa,4.342902459934627
Pex19,4.300555171812677
Dcaf8,4.327197004257835
Pea15a,4.171477376825915
