Gene Symbol,Ensembl ID,GNF GeneAtlas
Pon1,ENSMUSG00000002588,TRE
Dennd1c,ENSMUSG00000002668,TRE
Lcp2,ENSMUSG00000002699,TRE
Gnmt,ENSMUSG00000002769,TRE
Grin2d,ENSMUSG00000002771,TRE
Tmem143,ENSMUSG00000002781,TRE
Jag2,ENSMUSG00000002799,TRE
Hdgfrp2,ENSMUSG00000002833,TRE
Pla1a,ENSMUSG00000002847,TRE
Kcnn1,ENSMUSG00000002908,TRE
Arrdc2,ENSMUSG00000002910,TRE
Ppp1r17,ENSMUSG00000002930,TRE
Bcam,ENSMUSG00000002980,TRE
Relb,ENSMUSG00000002983,TRE
Apoc2,ENSMUSG00000002992,TRE
Elf3,ENSMUSG00000003051,TRE
Cyp2c29,ENSMUSG00000003053,TRE
Ebi3,ENSMUSG00000003206,TRE
Sult2b1,ENSMUSG00000003271,TRE
Car11,ENSMUSG00000003273,TRE
Dlgap1,ENSMUSG00000003279,TRE
Hck,ENSMUSG00000003283,TRE
Atp8b3,ENSMUSG00000003341,TRE
Ccdc65,ENSMUSG00000003354,TRE
Grik5,ENSMUSG00000003378,TRE
Cd79a,ENSMUSG00000003379,TRE
Elavl3,ENSMUSG00000003410,TRE
Rab3b,ENSMUSG00000003411,TRE
St8sia6,ENSMUSG00000003418,TRE
Dll3,ENSMUSG00000003436,TRE
Phyhip,ENSMUSG00000003469,TRE
Crhr2,ENSMUSG00000003476,TRE
Cyp4f18,ENSMUSG00000003484,TRE
Psg18,ENSMUSG00000003505,TRE
Prodh,ENSMUSG00000003526,TRE
Fosb,ENSMUSG00000003545,TRE
Cyp17a1,ENSMUSG00000003555,TRE
Homer3,ENSMUSG00000003573,TRE
Sec14l2,ENSMUSG00000003585,TRE
Aven,ENSMUSG00000003604,TRE
Calb2,ENSMUSG00000003657,TRE
Has1,ENSMUSG00000003665,TRE
Gcdh,ENSMUSG00000003809,TRE
Dnase2a,ENSMUSG00000003812,TRE
Nqo1,ENSMUSG00000003849,TRE
Gys1,ENSMUSG00000003865,TRE
Lin7b,ENSMUSG00000003872,TRE
Il7r,ENSMUSG00000003882,TRE
Efnb3,ENSMUSG00000003934,TRE
Grm3,ENSMUSG00000003974,TRE
Fam5b,ENSMUSG00000004031,TRE
Gstm7,ENSMUSG00000004035,TRE
Gstm3,ENSMUSG00000004038,TRE
Cacna1e,ENSMUSG00000004110,TRE
Cacna1b,ENSMUSG00000004113,TRE
Kifc2,ENSMUSG00000004187,TRE
Eno2,ENSMUSG00000004267,TRE
Hif3a,ENSMUSG00000004328,TRE
Gpx6,ENSMUSG00000004341,TRE
Gpx5,ENSMUSG00000004344,TRE
Spic,ENSMUSG00000004359,TRE
9330159F19Rik,ENSMUSG00000004360,TRE
Sst,ENSMUSG00000004366,TRE
Emid2,ENSMUSG00000004415,TRE
Clec11a,ENSMUSG00000004473,TRE
Psg17,ENSMUSG00000004540,TRE
Psg19,ENSMUSG00000004542,TRE
Cd33,ENSMUSG00000004609,TRE
Nkg7,ENSMUSG00000004612,TRE
Lim2,ENSMUSG00000004613,TRE
Pcp2,ENSMUSG00000004630,TRE
Chn2,ENSMUSG00000004633,TRE
Tyr,ENSMUSG00000004651,TRE
Ghrhr,ENSMUSG00000004654,TRE
Arid3b,ENSMUSG00000004661,TRE
Abca13,ENSMUSG00000004668,TRE
Ly9,ENSMUSG00000004707,TRE
Cd244,ENSMUSG00000004709,TRE
Emr1,ENSMUSG00000004730,TRE
Tmed11,ENSMUSG00000004821,TRE
Grap,ENSMUSG00000004837,TRE
Pou1f1,ENSMUSG00000004842,TRE
Pax3,ENSMUSG00000004872,TRE
Bcan,ENSMUSG00000004892,TRE
Hapln2,ENSMUSG00000004894,TRE
Slc25a18,ENSMUSG00000004902,TRE
Thop1,ENSMUSG00000004929,TRE
Matk,ENSMUSG00000004933,TRE
Pias4,ENSMUSG00000004934,TRE
Itgb1bp3,ENSMUSG00000004939,TRE
Zp3,ENSMUSG00000004948,TRE
Rasa4,ENSMUSG00000004952,TRE
Syt5,ENSMUSG00000004961,TRE
Fxyd4,ENSMUSG00000004988,TRE
Ccdc130,ENSMUSG00000004994,TRE
Chd5,ENSMUSG00000005045,TRE
Sh2b2,ENSMUSG00000005057,TRE
Slc1a2,ENSMUSG00000005089,TRE
Wisp1,ENSMUSG00000005124,TRE
4930550C14Rik,ENSMUSG00000005131,TRE
Corin,ENSMUSG00000005220,TRE
G6pc2,ENSMUSG00000005232,TRE
Dnahc2,ENSMUSG00000005237,TRE
Fgfr4,ENSMUSG00000005320,TRE
Fcer1a,ENSMUSG00000005339,TRE
Casp14,ENSMUSG00000005355,TRE
Slc1a6,ENSMUSG00000005357,TRE
Il5ra,ENSMUSG00000005364,TRE
Mlxipl,ENSMUSG00000005373,TRE
Il27ra,ENSMUSG00000005465,TRE
Myl10,ENSMUSG00000005474,TRE
Msh4,ENSMUSG00000005493,TRE
Fcer2a,ENSMUSG00000005540,TRE
Cyp2a5,ENSMUSG00000005547,TRE
Atp4a,ENSMUSG00000005553,TRE
Mrvi1,ENSMUSG00000005611,TRE
Tmod4,ENSMUSG00000005628,TRE
Cabp5,ENSMUSG00000005649,TRE
Nr1i3,ENSMUSG00000005677,TRE
Apoa2,ENSMUSG00000005681,TRE
Sh2d1a,ENSMUSG00000005696,TRE
Pard6a,ENSMUSG00000005699,TRE
Agrp,ENSMUSG00000005705,TRE
Cd247,ENSMUSG00000005763,TRE
Mmp8,ENSMUSG00000005800,TRE
Tnfsf14,ENSMUSG00000005824,TRE
Spo11,ENSMUSG00000005883,TRE
Prl4a1,ENSMUSG00000005891,TRE
Trh,ENSMUSG00000005892,TRE
Otx1,ENSMUSG00000005917,TRE
Itgae,ENSMUSG00000005947,TRE
P2rx5,ENSMUSG00000005950,TRE
Shpk,ENSMUSG00000005951,TRE
Trpv1,ENSMUSG00000005952,TRE
Dnase1,ENSMUSG00000005980,TRE
1700037C18Rik,ENSMUSG00000005983,TRE
Ankrd13d,ENSMUSG00000005986,TRE
Tyrp1,ENSMUSG00000005994,TRE
Pdc,ENSMUSG00000006007,TRE
Prg4,ENSMUSG00000006014,TRE
Dhx34,ENSMUSG00000006019,TRE
2310043J07Rik,ENSMUSG00000006143,TRE
Rhox6,ENSMUSG00000006200,TRE
5430419D17Rik,ENSMUSG00000006204,TRE
Clcnkb,ENSMUSG00000006216,TRE
Hspb7,ENSMUSG00000006221,TRE
Epor,ENSMUSG00000006235,TRE
Ccdc159,ENSMUSG00000006241,TRE
Atp6v1b1,ENSMUSG00000006269,TRE
Zbtb32,ENSMUSG00000006310,TRE
Upk1a,ENSMUSG00000006313,TRE
Ggt5,ENSMUSG00000006344,TRE
Ggt1,ENSMUSG00000006345,TRE
Gcat,ENSMUSG00000006378,TRE
Tek,ENSMUSG00000006386,TRE
Mpl,ENSMUSG00000006389,TRE
Hyi,ENSMUSG00000006395,TRE
Adamts4,ENSMUSG00000006403,TRE
Pvrl4,ENSMUSG00000006411,TRE
Neurl1a,ENSMUSG00000006435,TRE
Epha2,ENSMUSG00000006445,TRE
Actn3,ENSMUSG00000006457,TRE
Bbs1,ENSMUSG00000006464,TRE
Slc34a3,ENSMUSG00000006469,TRE
Prl7a1,ENSMUSG00000006488,TRE
Prl8a9,ENSMUSG00000006490,TRE
Itih3,ENSMUSG00000006522,TRE
Tmem110,ENSMUSG00000006526,TRE
Itih1,ENSMUSG00000006529,TRE
Ihh,ENSMUSG00000006538,TRE
Prkag3,ENSMUSG00000006542,TRE
Cryba2,ENSMUSG00000006546,TRE
Atp7b,ENSMUSG00000006567,TRE
Defb2,ENSMUSG00000006570,TRE
Slc4a1,ENSMUSG00000006574,TRE
Rundc3a,ENSMUSG00000006575,TRE
Slc5a6,ENSMUSG00000006641,TRE
Tcf23,ENSMUSG00000006642,TRE
Nphs1,ENSMUSG00000006649,TRE
Aplp1,ENSMUSG00000006651,TRE
D130043K22Rik,ENSMUSG00000006711,TRE
Zfp184,ENSMUSG00000006720,TRE
Krt23,ENSMUSG00000006777,TRE
Ttc25,ENSMUSG00000006784,TRE
Tmco6,ENSMUSG00000006850,TRE
Hap1,ENSMUSG00000006930,TRE
Syngr3,ENSMUSG00000007021,TRE
Hspa1l,ENSMUSG00000007033,TRE
Slc44a4,ENSMUSG00000007034,TRE
Ly6g6c,ENSMUSG00000007044,TRE
Lsm2,ENSMUSG00000007050,TRE
Atp1a4,ENSMUSG00000007107,TRE
Casq1,ENSMUSG00000007122,TRE
Stx1a,ENSMUSG00000007207,TRE
Scube2,ENSMUSG00000007279,TRE
Dennd2c,ENSMUSG00000007379,TRE
Pcdha4,ENSMUSG00000007440,TRE
Mc5r,ENSMUSG00000007480,TRE
Tssk4,ENSMUSG00000007591,TRE
Hapln4,ENSMUSG00000007594,TRE
Homer1,ENSMUSG00000007617,TRE
Gabrb2,ENSMUSG00000007653,TRE
Dio2,ENSMUSG00000007682,TRE
Twist2,ENSMUSG00000007805,TRE
Crlf1,ENSMUSG00000007888,TRE
4931407G18Rik,ENSMUSG00000007907,TRE
Hmgcll1,ENSMUSG00000007908,TRE
Ttc9b,ENSMUSG00000007944,TRE
Phox2a,ENSMUSG00000007946,TRE
Fzd3,ENSMUSG00000007989,TRE
1700008O03Rik,ENSMUSG00000008028,TRE
4930432K21Rik,ENSMUSG00000008129,TRE
Fhl2,ENSMUSG00000008136,TRE
Clstn3,ENSMUSG00000008153,TRE
Spib,ENSMUSG00000008193,TRE
1700109H08Rik,ENSMUSG00000008307,TRE
Relt,ENSMUSG00000008318,TRE
Adam21,ENSMUSG00000008438,TRE
Rnf151,ENSMUSG00000008482,TRE
Elavl2,ENSMUSG00000008489,TRE
Pou2f2,ENSMUSG00000008496,TRE
Htr3b,ENSMUSG00000008590,TRE
Rbfox1,ENSMUSG00000008658,TRE
Cldn13,ENSMUSG00000008843,TRE
Slc1a7,ENSMUSG00000008932,TRE
Bmp7,ENSMUSG00000008999,TRE
Rtdr1,ENSMUSG00000009070,TRE
Cabp7,ENSMUSG00000009075,TRE
Derl3,ENSMUSG00000009092,TRE
Gstt4,ENSMUSG00000009093,TRE
Tbx1,ENSMUSG00000009097,TRE
Gnat2,ENSMUSG00000009108,TRE
1700027D21Rik,ENSMUSG00000009115,TRE
Dqx1,ENSMUSG00000009145,TRE
Ccl8,ENSMUSG00000009185,TRE
2310007L24Rik,ENSMUSG00000009210,TRE
Tmem8c,ENSMUSG00000009214,TRE
Fam163b,ENSMUSG00000009216,TRE
Ascl2,ENSMUSG00000009248,TRE
Trpm2,ENSMUSG00000009292,TRE
Mpo,ENSMUSG00000009350,TRE
Lpo,ENSMUSG00000009356,TRE
Syn2,ENSMUSG00000009394,TRE
Myod1,ENSMUSG00000009471,TRE
Fpgs,ENSMUSG00000009566,TRE
Odam,ENSMUSG00000009580,TRE
St6galnac1,ENSMUSG00000009588,TRE
Taf7l,ENSMUSG00000009596,TRE
Sardh,ENSMUSG00000009614,TRE
Tex15,ENSMUSG00000009628,TRE
Pla2g12b,ENSMUSG00000009646,TRE
Oit3,ENSMUSG00000009654,TRE
Tex11,ENSMUSG00000009670,TRE
Bcr,ENSMUSG00000009681,TRE
Kcnd1,ENSMUSG00000009731,TRE
Pou6f1,ENSMUSG00000009739,TRE
Nxf2,ENSMUSG00000009941,TRE
Zmynd10,ENSMUSG00000010044,TRE
Slc38a3,ENSMUSG00000010064,TRE
Cacna2d2,ENSMUSG00000010066,TRE
Epn3,ENSMUSG00000010080,TRE
Rnf112,ENSMUSG00000010086,TRE
Slc47a1,ENSMUSG00000010122,TRE
1700027A23Rik,ENSMUSG00000010136,TRE
Tnfrsf13b,ENSMUSG00000010142,TRE
Prox1,ENSMUSG00000010175,TRE
Tmem86a,ENSMUSG00000010307,TRE
Optc,ENSMUSG00000010311,TRE
Tex14,ENSMUSG00000010342,TRE
Spaca7,ENSMUSG00000010435,TRE
Eya4,ENSMUSG00000010461,TRE
Myt1,ENSMUSG00000010505,TRE
Gm266,ENSMUSG00000010529,TRE
1700021C14Rik,ENSMUSG00000010538,TRE
Dazl,ENSMUSG00000010592,TRE
Apol7a,ENSMUSG00000010601,TRE
Tnfrsf22,ENSMUSG00000010751,TRE
Phlda2,ENSMUSG00000010760,TRE
Asz1,ENSMUSG00000010796,TRE
Wnt2,ENSMUSG00000010797,TRE
Gabra1,ENSMUSG00000010803,TRE
1700006E09Rik,ENSMUSG00000010841,TRE
Mcoln2,ENSMUSG00000011008,TRE
Slc5a1,ENSMUSG00000011034,TRE
Panx3,ENSMUSG00000011118,TRE
1700026D08Rik,ENSMUSG00000011154,TRE
Vipr2,ENSMUSG00000011171,TRE
Thg1l,ENSMUSG00000011254,TRE
Exoc3l2,ENSMUSG00000011263,TRE
Zfp296,ENSMUSG00000011267,TRE
Plin5,ENSMUSG00000011305,TRE
Dmrtc2,ENSMUSG00000011349,TRE
Cpb1,ENSMUSG00000011463,TRE
Slc25a41,ENSMUSG00000011486,TRE
Fsd1,ENSMUSG00000011589,TRE
2310033E01Rik,ENSMUSG00000011632,TRE
Spnb4,ENSMUSG00000011751,TRE
Evi5l,ENSMUSG00000011832,TRE
Git1,ENSMUSG00000011877,TRE
4930579F01Rik,ENSMUSG00000012042,TRE
Aim1l,ENSMUSG00000012123,TRE
Ubxn11,ENSMUSG00000012126,TRE
Mogat1,ENSMUSG00000012187,TRE
Tex22,ENSMUSG00000012211,TRE
Kif11,ENSMUSG00000012443,TRE
Mlkl,ENSMUSG00000012519,TRE
Phox2b,ENSMUSG00000012520,TRE
Ttll5,ENSMUSG00000012609,TRE
Cdh23,ENSMUSG00000012819,TRE
2200002J24Rik,ENSMUSG00000013083,TRE
Tmem190,ENSMUSG00000013091,TRE
E130303B06Rik,ENSMUSG00000013155,TRE
4933405L10Rik,ENSMUSG00000013158,TRE
Fer1l4,ENSMUSG00000013338,TRE
Iglon5,ENSMUSG00000013367,TRE
B4galnt2,ENSMUSG00000013418,TRE
Zfp651,ENSMUSG00000013419,TRE
Bcas1,ENSMUSG00000013523,TRE
Aldh1a2,ENSMUSG00000013584,TRE
Snx31,ENSMUSG00000013611,TRE
Cad,ENSMUSG00000013629,TRE
2210415F13Rik,ENSMUSG00000013643,TRE
1810065E05Rik,ENSMUSG00000013653,TRE
4933402N03Rik,ENSMUSG00000013668,TRE
Ly6g6e,ENSMUSG00000013766,TRE
St3gal1,ENSMUSG00000013846,TRE
Clip3,ENSMUSG00000013921,TRE
Myl2,ENSMUSG00000013936,TRE
1810033B17Rik,ENSMUSG00000013974,TRE
Pax5,ENSMUSG00000014030,TRE
Tctex1d2,ENSMUSG00000014075,TRE
Sval2,ENSMUSG00000014104,TRE
Trpv4,ENSMUSG00000014158,TRE
Zswim7,ENSMUSG00000014243,TRE
Gip,ENSMUSG00000014351,TRE
Cyp2d10,ENSMUSG00000014372,TRE
Blk,ENSMUSG00000014453,TRE
Pkd2l2,ENSMUSG00000014503,TRE
4930511M11Rik,ENSMUSG00000014529,TRE
Clec4f,ENSMUSG00000014542,TRE
Klra17,ENSMUSG00000014543,TRE
Csf1,ENSMUSG00000014599,TRE
Kif1a,ENSMUSG00000014602,TRE
Chrne,ENSMUSG00000014609,TRE
Adam28,ENSMUSG00000014725,TRE
Tbp,ENSMUSG00000014767,TRE
Dll1,ENSMUSG00000014773,TRE
Nol3,ENSMUSG00000014776,TRE
Plekhg4,ENSMUSG00000014782,TRE
Slc9a5,ENSMUSG00000014786,TRE
Stc1,ENSMUSG00000014813,TRE
E2f4,ENSMUSG00000014859,TRE
Acsf3,ENSMUSG00000015016,TRE
Galns,ENSMUSG00000015027,TRE
Gata2,ENSMUSG00000015053,TRE
C8g,ENSMUSG00000015083,TRE
Clic3,ENSMUSG00000015093,TRE
Fbxw5,ENSMUSG00000015095,TRE
Slc25a13,ENSMUSG00000015112,TRE
Aldh1a3,ENSMUSG00000015134,TRE
Cyp2j9,ENSMUSG00000015224,TRE
Nipsnap3a,ENSMUSG00000015242,TRE
