,Tuft_intestine,Goblet_intestine,Endocrine_intestine,Stem_intestine,TA.G1_intestine,TA.G2_intestine,Paneth_intestine,Enterocyte.Mature.Proximal_intestine,Enterocyte.Mature.Distal_intestine,M.cell_intestine.ex.vivo,Tuft_intestine.ex.vivo,Goblet_intestine.ex.vivo,Endocrine_intestine.ex.vivo,TA_intestine.ex.vivo,Enterocyte.1_intestine.ex.vivo,Enterocyte.2_intestine.ex.vivo,Stem_intestine.ex.vivo
Zfp189,0.0,0.0,0.008167706,0.005987111,0.0,0.0066113686,0.0,0.0,0.0058077993,0.004800765,0.0,0.0,0.030737318,0.0022270782,0.0155662205,0.010986719,0.0070157135
Aldob,0.5752643,0.6684173,1.115613,1.3839074,1.4776299,1.4740223,1.207844,3.3961694,2.8049858,3.6468303,1.3054075,1.7510158,2.5228207,3.1034956,4.778539,3.933202,2.1424751
Tmem246,0.48434186,0.32531098,0.27806827,0.1911687,0.15190566,0.19297676,0.19185705,0.14426209,0.17573297,0.9998337,0.6334514,0.3258032,0.59050554,0.65328944,0.2619674,0.47097185,0.46974272
Rnf20,0.11137198,0.10471534,0.1569846,0.14118224,0.12661043,0.12118883,0.07889276,0.051511068,0.08136844,0.21801975,0.1605312,0.14741592,0.18101044,0.20055734,0.09763316,0.14742954,0.20715354
Smc2os,0.006850063,0.00087733316,0.0039338726,0.0009757117,0.0,0.0,0.0,0.0021117849,0.010659223,0.0029281036,0.0,0.0,0.02227523,0.0,0.0,0.0,0.0004801934
Smc2,0.09861056,0.12071003,0.064196154,0.1017807,0.39560035,0.76943064,0.13789825,0.016083848,0.013571818,0.015650079,0.042435784,0.1012835,0.08814671,0.41321608,0.0065624285,0.03955811,0.50721157
Nipsnap3b,0.5591209,0.5364414,0.57192266,0.49402675,0.5615892,0.5364425,0.36129892,0.7893744,0.89975834,0.50650656,0.6672446,0.3437277,0.6341796,0.6590806,0.590473,0.67996275,0.5216792
Abca1,0.02078447,0.0029172215,0.016279796,0.0018434585,0.0008231212,0.0023631812,0.0057067554,0.034548245,0.029170824,0.0,0.0061244676,0.0,0.0141053405,0.0,0.0,0.016358452,0.0
AI427809,0.050153434,0.05882596,0.038708217,0.08524803,0.04320209,0.04521288,0.058359835,0.046612553,0.13626613,0.0113892155,0.01471158,0.054080483,0.01750604,0.06008532,0.045230724,0.037141968,0.024954235
Slc44a1,0.26321644,0.32041296,0.30948094,0.28468052,0.29664654,0.2967332,0.2739598,0.22538303,0.32083473,0.48080966,0.22426632,0.21535085,0.21541561,0.5014715,0.29871947,0.5216016,0.28447944
Fsd1l,0.108196296,0.15319802,0.20039615,0.09590831,0.1116443,0.13158399,0.08386706,0.020283202,0.050223093,0.008704067,0.044468578,0.082450196,0.09190946,0.09486798,0.017979773,0.025770117,0.09986181
Fktn,0.13933793,0.06300806,0.09726709,0.080426574,0.07811974,0.108670674,0.07696999,0.025785936,0.019234551,0.0971525,0.12405226,0.10511495,0.07034287,0.25650826,0.020251818,0.02772772,0.11275676
Tmem38b,0.31299585,0.08142495,0.08762478,0.050615747,0.062703535,0.0773652,0.06997546,0.041182376,0.034458973,0.115414836,0.62655604,0.13665308,0.17694606,0.113796376,0.05247798,0.054698113,0.17940864
Zfp462,0.10263238,0.04209345,0.136006,0.060013138,0.057712093,0.07128596,0.08152864,0.01639985,0.01998244,0.034502834,0.039176784,0.010178342,0.042917605,0.04506354,0.006254825,0.013181202,0.009048286
Rad23b,0.4222863,0.39474422,0.34085077,0.3729073,0.43005446,0.42701298,0.32839635,0.22632632,0.24957092,0.66325325,0.5693747,0.4585542,0.50192934,0.77535975,0.27888462,0.4424036,0.62864405
Klf4,0.31637555,0.86214477,0.13653606,0.03610747,0.06526328,0.045827057,0.065860435,0.1951571,0.40320417,0.10947959,0.61951166,0.45805693,0.16741018,0.22100197,0.22550118,0.45225838,0.108701855
Gm12511,0.0139082745,0.13125855,0.021162476,0.0023651288,0.0019279061,0.0,0.0,0.0,0.0,0.0,0.041862775,0.028574113,0.06718083,0.0,0.0,0.0,0.0
Ikbkap,0.06608535,0.055789374,0.045745686,0.09404469,0.07014031,0.10471265,0.09378219,0.0139382025,0.01903362,0.018450897,0.054592814,0.07094623,0.041995864,0.07173831,0.0080086645,0.0131573,0.092904076
Fam206a,0.02035428,0.031923704,0.043457463,0.054824367,0.055332344,0.049274683,0.049644545,0.013313824,0.021967297,0.034899976,0.029740984,0.03605506,0.009366127,0.09505185,0.03204072,0.025696252,0.06148715
Ctnnal1,0.021821864,0.020522779,0.086353004,0.05681026,0.103415996,0.06681304,0.084755495,0.0076782964,0.0,0.0079423785,0.11836381,0.040724233,0.068090215,0.03739084,0.0055179694,0.025931066,0.118798554
Tmem245,0.29499555,0.05390932,0.13750751,0.14435892,0.17259796,0.18321723,0.198856,0.090238534,0.109763816,0.16328193,0.37060034,0.08093424,0.10048107,0.15139793,0.13369222,0.19067489,0.17334929
Epb41l4b,0.20353225,0.20226845,0.24546622,0.23576337,0.29412413,0.2877294,0.1919396,0.5258921,0.50056094,0.11592265,0.26471815,0.17165776,0.30877793,0.28422174,0.36915,0.3979961,0.26343217
