,Club_respiratory,Basal_respiratory,Ciliated_respiratory,Tuft_respiratory,Neuroendocrine_respiratory,Goblet_respiratory,Ionocyte_respiratory
Col16a1,0.0018849382,0.018620893,0.0035597438,0.042703267,0.018328475,0.0,0.036243048
Pef1,0.3001912,0.2627478,0.26612088,0.25771007,0.40053907,0.20562385,0.27285513
Tinagl1,0.20941576,0.61587214,0.06352057,0.27159533,0.32042435,0.33994007,0.31869543
Serinc2,0.24012263,0.40914932,0.14279114,0.24091814,0.3877877,0.21202512,0.2248109
Fabp3,0.0014788349,0.00306265,0.0,0.0,0.041091125,0.0,0.0
Zcchc17,0.17731035,0.20477921,0.17061807,0.3548155,0.39265433,0.1477019,0.2899461
Snrnp40,0.17999542,0.28323758,0.15777405,0.18623517,0.22153063,0.16747612,0.06959527
Pum1,0.13059668,0.1348551,0.21193293,0.12517132,0.11334329,0.15214437,0.12261815
Sdc3,0.0014014298,0.015891993,0.0025430624,0.0,0.022034502,0.0,0.0
Laptm5,0.0051565478,0.006109437,0.0,0.0,0.0050016656,0.0,0.0
Matn1,0.0,0.0004239033,0.0,0.0,0.0,0.0,0.0
Gm12962,0.0,0.0,0.005397977,0.0,0.0,0.0,0.0
Ptpru,0.16969201,0.17873429,0.17789355,0.08845286,0.14474748,0.066120885,0.16775276
Mecr,0.14522225,0.23901716,0.10754959,0.18088897,0.22438772,0.17992264,0.30396193
Srsf4,0.12999052,0.17367211,0.14057885,0.20816647,0.24637948,0.07512209,0.3964116
Epb41,0.07988994,0.03916724,0.0643449,0.14919539,0.09800652,0.07373466,0.0
Gm10300,0.00024087302,0.0008636131,0.0012840428,0.0,0.0,0.0,0.0
Oprd1,0.0,0.0,0.0,0.0,0.0,0.0,0.047553845
Ythdf2,0.14085618,0.30441082,0.21230896,0.17923607,0.21896404,0.117377676,0.25692508
Gmeb1,0.03279405,0.04958493,0.03814676,0.04807562,0.055593368,0.018981809,0.11359842
Gm28874,0.0010085935,0.0016741029,0.008302331,0.0,0.0,0.0,0.0
Taf12,0.1389616,0.2675598,0.15494083,0.13217121,0.17984687,0.101135015,0.14686881
Rab42,0.0032112468,0.013369013,0.0029042908,0.011815093,0.0,0.0069322656,0.0
Snhg12,0.15942477,0.32017258,0.14126791,0.27705464,0.36615506,0.18114467,0.450337
Trnau1ap,0.18630144,0.24365954,0.4642495,0.21961741,0.23901005,0.15667091,0.27247876
Rcc1,0.021931987,0.04681776,0.048050232,0.029675487,0.012862689,0.07874339,0.08944409
Gm17300,0.00042630834,0.0004905333,0.0,0.0,0.0,0.0,0.0
Phactr4,0.079976015,0.062046494,0.078740165,0.039056387,0.05229059,0.10562761,0.11167825
Med18,0.026326135,0.030479224,0.036413517,0.045380108,0.0,0.011501008,0.0
Sesn2,0.038483985,0.07420408,0.053831864,0.047529627,0.0764573,0.014666932,0.0
Gm12981,0.0023859094,0.0022360133,0.0018360496,0.0,0.017071625,0.0,0.0
Atpif1,1.6259354,2.099149,2.476024,2.4263005,2.1322649,1.0055486,1.6870679
Gm12999,0.0012588925,0.011840578,0.0018360496,0.0,0.012810953,0.0,0.0
Dnajc8,0.4204782,0.7067712,0.659998,0.57378393,0.75875074,0.2693395,0.54119647
Ptafr,0.0019357663,0.0025931892,0.00653006,0.0038679754,0.015510949,0.0,0.0
Eya3,0.041114055,0.031803153,0.10920878,0.040731467,0.083901584,0.05448563,0.0
Xkr8,0.002197986,0.0016112048,0.0078065265,0.009950054,0.0,0.0,0.0
Smpdl3b,0.0010839385,0.0,0.0,0.0,0.0,0.053588632,0.0
Rpa2,0.052581176,0.06807548,0.014381982,0.101146534,0.049948767,0.03415803,0.0
Themis2,0.0,0.0006244061,0.0,0.004307824,0.0,0.0,0.0
Ppp1r8,0.045082185,0.059683163,0.06981239,0.084891684,0.08336448,0.060104348,0.043569736
Stx12,0.16500121,0.22398311,0.16507739,0.30338436,0.2706438,0.11579084,0.35020345
Fam76a,0.07811508,0.11436853,0.22079574,0.15262556,0.12558828,0.16699862,0.115560494
Fgr,0.00016316386,0.0002705987,0.0,0.0,0.0,0.0,0.0
