,Tuft_intestine,Goblet_intestine,Endocrine_intestine,Stem_intestine,TA.G1_intestine,TA.G2_intestine,Paneth_intestine,Enterocyte.Mature.Proximal_intestine,Enterocyte.Mature.Distal_intestine
Cdyl2,0.0,0.0040256567,0.008460935,0.0035772691,0.0031295256,0.011811671,0.0,0.0010775734,0.0043152645
Cmc2,0.24752688,0.38133383,0.19414973,0.23724069,0.5924496,0.6708414,0.31037384,0.16198389,0.10227094
Cenpn,0.007409072,0.011213725,0.016702982,0.012079099,0.08631195,0.09623944,0.029287579,0.0,0.0
Atmin,0.075053304,0.056680895,0.06505621,0.048462473,0.08736094,0.05206267,0.067998834,0.029614598,0.0527155
1700030J22Rik,0.00705972,0.0,0.0076767593,0.0007275341,0.0,0.001581056,0.0,0.0,0.0
Gcsh,0.29184154,0.31662303,0.23019533,0.5355965,0.7287529,0.6954001,0.40899402,0.19470719,0.14577991
Bco1,0.0,0.0,0.15776087,0.0076214466,0.0,0.0,0.0066043646,0.045733992,0.021161241
Gan,0.044661034,0.106605776,0.081248686,0.10040232,0.112924606,0.14595369,0.11547027,0.083379745,0.08605733
Cmip,0.46133026,0.2315104,0.5223529,0.21237557,0.18711911,0.23736615,0.20591249,0.23067513,0.2572216
Plcg2,0.8530909,0.023737863,0.019825554,0.022696167,0.026129702,0.031645015,0.031126855,0.033433527,0.06374856
Sdr42e1,0.014905347,0.039220918,0.03622819,0.03984712,0.04603644,0.04460077,0.042714242,0.025302306,0.010369495
Hsd17b2,0.2750355,0.37610772,0.03510811,0.047101345,0.048519854,0.037507314,0.065994434,0.54450303,0.79626054
Mphosph6,0.23531324,0.32546362,0.2412424,0.25019443,0.29216146,0.29640338,0.22802743,0.06684787,0.07961177
Cdh13,0.0,0.0,0.0,0.0010230374,0.0,0.0028687657,0.0,0.0,0.0050200745
Hsbp1,1.2816188,1.0466722,1.1776054,0.86486953,0.72882295,0.8989199,0.8156061,1.0634667,1.2518456
Mlycd,0.18066545,0.16857022,0.20583495,0.16480638,0.16821642,0.17745274,0.15138863,0.22252971,0.17172012
Osgin1,0.050287627,0.025375938,0.04854275,0.006727147,0.0060517564,0.016977038,0.002353358,0.2276736,0.22819081
Necab2,0.0,0.0,0.07457614,0.0,0.0,0.0,0.0,0.0,0.0
Slc38a8,0.0,0.0,0.0013262731,0.0,0.0,0.0,0.0,0.0013682435,0.0032695264
Mbtps1,0.18429463,0.17022431,0.23521166,0.17516059,0.231675,0.19885322,0.20525795,0.14026694,0.13435344
Hsdl1,0.07480791,0.09809716,0.109286845,0.064995356,0.07377078,0.08634017,0.07210203,0.10622966,0.057722025
Dnaaf1,0.0,0.026051043,0.013636512,0.003289642,0.006034686,0.0062612994,0.0,0.15744834,0.07183277
Taf1c,0.07446761,0.05081448,0.029343138,0.030956132,0.03667225,0.03243624,0.052959383,0.026282277,0.013814645
Atp2c2,0.019764358,0.37241808,0.16296718,0.08063993,0.03841109,0.06416625,0.08167711,0.007820391,0.006935247
Tldc1,0.0038704746,0.012122671,0.007712147,0.0050022076,0.003599491,0.0072174105,0.0,0.0015915881,0.0049209106
Cotl1,0.6372531,0.8952552,1.1759837,1.0890363,1.1109837,1.2487243,1.056071,0.18899764,0.1783578
Klhl36,0.009559278,0.014320052,0.04859468,0.020011254,0.035770915,0.03073754,0.025555136,0.016178416,0.01184069
Usp10,0.15147662,0.10938966,0.13358763,0.20116082,0.2838508,0.22625178,0.25213596,0.0893775,0.056835603
Zdhhc7,0.146875,0.13960348,0.12752524,0.097973324,0.092109144,0.0762122,0.10675351,0.29800305,0.27384079
A130014A01Rik,0.012396452,0.02104358,0.02046435,0.0314648,0.03407225,0.034749467,0.026323915,0.02207055,0.025268886
6430548M08Rik,0.0,0.028809443,0.021761378,0.0038204042,0.0068635033,0.013480612,0.008923116,0.0013618564,0.020321991
Fam92b,0.0,0.0,0.092389934,0.0,0.0,0.0,0.0,0.0,0.0
Gse1,0.2173689,0.11213597,0.3605812,0.07008166,0.07916413,0.061932128,0.10946772,0.06566614,0.08657463
Gins2,0.16829774,0.12807675,0.09539641,0.2980721,0.55367696,0.5257821,0.2932177,0.020012507,0.041600917
Gm10614,0.0,0.0026763347,0.0,0.023941929,0.026072908,0.006014089,0.0,0.0,0.011167829
Gm26739,0.0,0.0,0.0,0.011060315,0.017766012,0.007650299,0.0,0.0,0.0
1190005I06Rik,0.023847539,0.02099471,0.036595404,0.018350676,0.01674797,0.007480626,0.016051099,0.0030418774,0.0105509
Emc8,0.42939156,0.4066304,0.394895,0.419184,0.59400123,0.70762694,0.39988706,0.17827357,0.13800377
Cox4i1,3.4280708,3.2702057,3.3693604,3.8036547,3.8781338,3.7951586,3.6895642,4.0584373,3.7624478
Irf8,0.17388225,0.38100478,0.21496756,0.45874196,0.49385238,0.46406823,0.47954062,0.38591704,0.43222126
Mthfsd,0.11482747,0.15047532,0.16002296,0.13288827,0.14852856,0.16124678,0.1211391,0.05486125,0.058678437
Gm27045,0.0,0.0,0.0040425155,0.0,0.0,0.0,0.010264278,0.0,0.0
Fbxo31,0.06681941,0.0914132,0.09583634,0.1091124,0.12434861,0.10779041,0.14621878,0.027745547,0.029768437
Map1lc3b,0.93895537,0.7159895,1.0133976,0.7711512,0.5878457,0.65976936,0.5990205,0.51966435,0.5890833
Zcchc14,0.04679391,0.04704613,0.06718548,0.08315117,0.09506683,0.0868906,0.12200454,0.08800734,0.09621247
Gm27030,0.0,0.0,0.009624443,0.001238549,0.0021842814,0.0,0.0,0.0013908667,0.0
Klhdc4,0.121674,0.11660038,0.112666406,0.09644789,0.14223328,0.13784774,0.102632985,0.06810615,0.054115113
Slc7a5,0.018193817,0.06341293,0.09039954,0.08831644,0.04476389,0.076132976,0.08637296,0.003916141,0.0032695264
BC048644,0.0,0.0,0.0,0.0007761964,0.0073031327,0.0,0.005234754,0.0,0.0
Gm27011,0.0,0.0,0.0012661769,0.0031885614,0.004193545,0.0019322658,0.0045227977,0.0016686978,0.0
Banp,0.056352988,0.05395559,0.07586019,0.03955224,0.058269188,0.04347646,0.040740576,0.01680555,0.01657181
Zfpm1,0.07634014,0.118254915,0.18577498,0.12301011,0.14038762,0.14518456,0.12821722,0.17252399,0.05382201
Zc3h18,0.16178611,0.12673886,0.12616463,0.1485471,0.22734796,0.21214278,0.15741757,0.13772367,0.15820016
Cyba,1.2348443,0.83864194,0.67476267,1.4764234,1.2875302,1.5769887,1.5463752,0.6140537,1.277783
Mvd,0.24269117,0.2598554,0.13502473,0.11585547,0.19260475,0.16322719,0.14368251,0.05334114,0.17366827
Snai3,0.0062008235,0.004178283,0.0,0.0022470283,0.011194426,0.017346406,0.020778913,0.0,0.0
Rnf166,0.15780039,0.08568889,0.099609844,0.10720679,0.08648468,0.09811046,0.04778668,0.0421732,0.073182076
Ctu2,0.12946822,0.109466664,0.1201474,0.13138734,0.23015425,0.13610776,0.17003234,0.06553164,0.06716408
Piezo1,0.0061118286,0.02526124,0.010025071,0.023768803,0.031803858,0.02077156,0.016635226,0.0037683074,0.012014732
Cdt1,0.14967524,0.13891949,0.08698239,0.31795242,0.48074895,0.35286343,0.28073668,0.046588793,0.030634176
Aprt,1.1178285,0.8653755,0.7864885,1.5113407,1.4984092,1.3530647,1.2692946,2.2622893,1.7716874
Galns,0.037437834,0.056211315,0.055410534,0.04507792,0.07482368,0.06945711,0.064469814,0.054343596,0.07530615
Trappc2l,0.82788694,0.5850513,0.8583407,0.44356734,0.50875527,0.5519206,0.40603563,1.0190487,0.7793921
Pabpn1l,0.0,0.002507355,0.008820995,0.0,0.0,0.0,0.0,0.0,0.0
Cbfa2t3,0.03656498,0.3902549,0.2847688,0.007331907,0.005914454,0.0071496824,0.008197537,0.0032637145,0.0033871986
Acsf3,0.09491377,0.1408177,0.12719397,0.10942097,0.08001713,0.09135049,0.08309575,0.15726422,0.12111493
Ankrd11,0.36963513,0.30070132,0.4477588,0.43842936,0.40941045,0.47335666,0.43359092,0.24693519,0.2546218
Spg7,0.20263349,0.17215753,0.3023883,0.22264992,0.23778744,0.28379396,0.22268833,0.26377976,0.21065347
Rpl13,3.001314,2.8505778,2.7376149,3.6017008,3.28914,3.4221382,3.3534093,1.2536403,1.3962936
Cpne7,0.0,0.0,0.0,0.002590803,0.0,0.0026295304,0.0,0.0,0.0
Dpep1,0.055175487,0.043592967,0.06029588,0.036679696,0.0432399,0.029297771,0.04027317,1.53532,2.307568
Chmp1a,0.30255604,0.25934842,0.28337684,0.24848269,0.24120426,0.24776316,0.20086326,0.36954278,0.4184003
Spata33,0.009864984,0.0,0.0,0.0011614962,0.002531133,0.0,0.0,0.0,0.0
Cdk10,0.15236743,0.06555042,0.07604275,0.08617035,0.10603104,0.119060926,0.11121411,0.057642143,0.072988935
Spata2l,0.02789512,0.016546264,0.020989344,0.011103262,0.0052785217,0.005667735,0.0030802134,0.015407551,0.024687372
4933417D19Rik,0.0,0.0,0.0034872862,0.0,0.0,0.0,0.0,0.0,0.0
Vps9d1,0.08196822,0.029265927,0.06686081,0.028242603,0.04167302,0.026709097,0.023114992,0.056473073,0.049644113
Zfp276,0.020243729,0.025532456,0.03155884,0.025607051,0.028205017,0.032899622,0.01997986,0.033730023,0.036560513
Fanca,0.004465656,0.013749206,0.015563053,0.019449072,0.064689666,0.060163073,0.052222315,0.0028415497,0.0032193565
Spire2,0.17720814,0.102289505,0.07946175,0.06981095,0.06469247,0.08947379,0.069599725,0.09872542,0.08785908
Tcf25,0.6054833,0.5766324,0.5567263,0.4994765,0.5049474,0.5377406,0.41330135,0.6356447,0.71033293
Mc1r,0.0,0.0,0.010010206,0.0011355585,0.0,0.0013606447,0.0,0.004973589,0.0061795376
Tubb3,0.0,0.0,0.29146904,0.0,0.0021343832,0.0,0.0,0.0,0.0
Def8,0.018011915,0.029438319,0.054965224,0.023259617,0.03201703,0.03547109,0.00718828,0.046893932,0.033637512
Afg3l1,0.23781574,0.1454165,0.20509848,0.20016502,0.23479824,0.19377764,0.20633893,0.13533986,0.1412099
Dbndd1,0.0,0.0,0.02347221,0.0,0.0,0.0,0.0,0.0,0.0
Gas8,0.06667301,0.044462267,0.07131875,0.048936214,0.047277812,0.056571137,0.039336085,0.0070065847,0.02168334
Rhou,0.05464288,0.09063003,0.19418763,0.093571715,0.08460642,0.0848775,0.11883507,0.29562256,0.30470857
4732419C18Rik,0.0040780124,0.004284399,0.01714953,0.0044149775,0.010283199,0.004029987,0.0,0.009882581,0.005700701
Rab4a,0.41382217,0.14629583,0.29348424,0.2036549,0.21415448,0.20801161,0.18852149,0.37834147,0.5313279
2810455O05Rik,0.0,0.0025298821,0.0,0.0015181211,0.0058929324,0.0041933893,0.0,0.0,0.0
Ccsap,0.011417927,0.0064061712,0.025114985,0.0043848916,0.012309006,0.028023543,0.005261285,0.0,0.0
Acta1,0.052556273,0.026066497,0.03760772,0.02460633,0.007822634,0.021099173,0.01525615,0.03625949,0.126546
Nup133,0.064516634,0.055988234,0.045095738,0.080271736,0.13423139,0.203532,0.06489974,0.0035085238,0.019439524
Abcb10,0.09546562,0.067429185,0.14946328,0.032128546,0.051042385,0.039264545,0.040806513,0.12631263,0.1912668
