,M.cell_intestine.ex.vivo,Tuft_intestine.ex.vivo,Goblet_intestine.ex.vivo,Endocrine_intestine.ex.vivo,TA_intestine.ex.vivo,Enterocyte.1_intestine.ex.vivo,Enterocyte.2_intestine.ex.vivo,Stem_intestine.ex.vivo
1110006O24Rik,0.06024303,0.107169196,0.01813857,0.07102051,0.015123157,0.02048595,0.038938407,0.025598796
Rab35,0.15082134,0.18975103,0.11537207,0.13501059,0.18204771,0.12979923,0.16609262,0.2048924
Ccdc64,0.04115289,0.008746279,0.031635605,0.052277472,0.01712353,0.003973399,0.009948632,0.014316992
Cit,0.0018052045,0.033685505,0.08671175,0.10171921,0.16185305,0.0062681166,0.016449342,0.17559035
Prkab1,0.12076632,0.22074251,0.080785796,0.16740489,0.2138662,0.13599427,0.18354934,0.17008853
Hspb8,0.0,0.0,0.010599945,0.0,0.0,0.0,0.0,0.0
Suds3,0.8461463,0.7292109,0.49914595,0.6100174,0.70000446,0.63187754,0.64163584,0.7877
9530046B11Rik,0.0,0.0,0.0,0.0,0.0057275966,0.0037495429,0.004160394,0.004754189
Taok3,0.45667586,0.303327,0.25581586,0.25206628,0.27135593,0.2417364,0.42264026,0.35136884
Pebp1,1.2862006,0.9208147,0.6890026,0.6218496,1.1392606,0.41657907,0.58997494,0.90058804
BC051077,0.011080021,0.0045910035,0.0,0.009827327,0.019671962,0.004162681,0.0,0.0
Gm10399,0.123797484,0.061448116,0.02558204,0.017973896,0.23083699,0.034884267,0.06290161,0.06538489
Vsig10,0.48254737,0.3138021,0.19660084,0.17801584,0.425051,0.08115882,0.2536237,0.27923948
Wsb2,0.74093133,0.39712852,0.17695904,0.26793134,0.4211698,0.42632776,0.4319659,0.17571142
Rfc5,0.045587126,0.09866145,0.12656921,0.08192326,0.3908512,0.055430487,0.06456842,0.51778686
Gm15728,0.0,0.0036752564,0.0033095286,0.0,0.0,0.0,0.0036968314,0.004644458
Ksr2,0.0,0.0,0.0,0.0061140116,0.0,0.0,0.0,0.0021034048
Fbxo21,0.004269727,0.010466297,0.08302987,0.087589726,0.03662837,0.0,0.011589585,0.059821695
Tesc,0.0,0.0,0.013423737,0.07471907,0.0,0.0,0.0029416776,0.0034710658
Fbxw8,0.06677284,0.08689752,0.053577427,0.041010007,0.10872996,0.058521654,0.059756964,0.07183443
Gm9754,0.0,0.0,0.0,0.0,0.0023442993,0.0,0.0,0.0
Rnft2,0.0,0.0,0.0,0.0,0.0014052005,0.0,0.004008627,0.0011995493
2410131K14Rik,0.075212695,0.0726714,0.04853991,0.062299695,0.1457917,0.06495587,0.034268703,0.098837644
Med13l,0.048899084,0.10370776,0.09570302,0.12300431,0.06406334,0.02157041,0.06384623,0.11729412
Tbx3os1,0.011304313,0.026376612,0.0028347708,0.0,0.0,0.0036598805,0.012568075,0.0005490107
Tbx3,0.18566409,0.38205102,0.121007755,0.14639156,0.24056864,0.16309103,0.28831407,0.10457829
Tbx3os2,0.014200731,0.008681107,0.0,0.009166464,0.014418215,0.0076991487,0.014847735,0.0
